iter	Passed	Remaining
473	652	724
474	654	723
475	655	721
476	655	719
477	656	717
478	657	715
479	658	713
480	658	711
481	659	709
482	660	707
483	661	705
484	662	703
485	663	701
486	663	699
487	664	697
488	666	696
489	667	694
490	668	692
491	669	691
492	670	689
493	670	687
494	671	685
495	672	683
496	673	681
497	674	679
498	674	677
499	675	675
500	676	673
501	677	671
502	678	670
503	678	668
504	679	666
505	681	665
506	682	664
507	684	663
508	685	661
509	686	659
510	687	658
511	688	656
512	689	654
513	690	652
514	691	650
515	692	649
516	692	647
517	693	645
518	694	643
519	695	641
520	697	640
521	698	639
522	699	637
523	700	636
524	701	634
525	701	632
526	702	630
527	703	628
528	704	626
529	704	625
530	705	623
531	706	621
532	707	619
533	708	617
534	708	616
535	709	614
536	711	613
537	712	611
538	713	610
539	714	608
540	715	606
541	716	605
542	716	603
543	717	601
544	718	599
545	719	598
546	720	596
547	720	594
548	721	592
549	722	591
550	723	589
551	724	587
552	725	586
553	726	585
554	727	583
555	728	581
556	729	580
557	730	578
558	731	576
559	731	575
560	732	573
561	733	571
562	734	569
563	735	568
564	735	566
565	736	564
566	737	563
567	738	561
568	738	559
569	740	558
570	741	557
571	743	556
572	744	554
573	745	553
574	746	551
575	747	550
576	748	548
577	749	546
578	749	545
579	750	543
580	751	542
581	752	540
582	753	538
583	754	537
584	755	535
585	756	534
586	757	532
587	758	531
588	759	529
589	759	528
590	760	526
591	761	524
592	762	523
593	763	521
594	763	519
595	764	518
596	765	516
597	766	515
598	767	513
599	767	511
600	768	510
601	769	508
602	771	507
603	771	506
604	773	504
605	774	503
606	774	501
607	775	500
608	776	498
609	777	496
610	777	495
611	778	493
612	779	492
613	780	490
614	781	489
615	781	487
616	782	486
617	784	484
618	785	483
619	786	482
620	787	480
621	788	479
622	789	477
623	790	476
624	791	474
625	792	473
626	792	471
627	793	470
628	794	468
629	795	467
630	796	465
631	796	463
632	797	462
633	798	461
634	799	459
635	800	458
636	802	457
637	803	455
638	804	454
639	805	452
640	806	451
641	806	449
642	807	448
643	808	446
644	809	445
645	809	443
646	810	442
647	811	440
648	812	439
649	813	437
650	814	436
651	815	435
652	816	434
653	817	432
654	818	431
655	819	429
656	820	428
657	821	426
658	821	425
659	822	423
660	823	422
661	824	420
662	825	419
663	825	417
664	826	416
665	827	415
666	828	413
667	829	412
668	830	411
669	831	409
670	832	408
671	833	406
672	834	405
673	835	404
674	836	402
675	836	401
676	837	399
677	838	398
678	839	396
679	840	395
680	840	393
681	841	392
682	842	391
683	843	389
684	844	388
685	846	387
686	847	386
687	848	384
688	849	383
689	849	381
690	850	380
691	851	379
692	852	377
693	853	376
694	853	374
695	854	373
696	855	371
697	856	370
698	857	369
699	858	367
700	859	366
701	860	365
702	861	364
703	862	362
704	863	361
705	864	360
706	865	358
707	866	357
708	867	355
709	867	354
710	868	353
711	869	351
712	870	350
713	870	348
714	871	347
715	872	346
716	873	344
717	874	343
718	875	342
719	876	340
720	877	339
721	878	338
722	879	336
723	880	335
724	881	334
725	882	333
726	883	331
727	885	330
728	886	329
729	886	328
730	887	326
731	888	325
732	889	323
733	890	322
734	891	321
735	893	320
736	893	319
737	894	317
738	895	316
739	896	315
740	897	313
741	898	312
742	899	311
743	900	309
744	901	308
745	902	307
746	903	305
747	904	304
748	906	303
749	908	302
750	909	301
751	910	300
752	911	298
753	912	297
754	913	296
755	914	295
756	914	293
757	915	292
758	916	291
759	917	289
760	919	288
761	920	287
762	921	286
763	922	285
764	923	283
765	924	282
766	925	281
767	926	279
768	927	278
769	928	277
770	929	275
771	930	274
772	931	273
773	932	272
774	932	270
775	934	269
776	936	268
777	937	267
778	938	266
779	939	264
780	940	263
781	941	262
782	941	261
783	942	259
784	943	258
785	944	257
786	945	255
787	946	254
788	947	253
789	948	252
790	949	250
791	950	249
792	951	248
793	952	247
794	953	245
795	954	244
796	955	243
797	955	241
798	956	240
799	957	239
800	958	238
801	959	236
802	960	235
803	960	234
804	961	232
805	962	231
806	963	230
807	965	229
808	965	228
809	967	226
810	967	225
811	968	224
812	969	222
813	970	221
814	971	220
815	971	219
816	972	217
817	973	216
818	974	215
819	975	214
820	975	212
821	976	211
822	977	210
823	978	209
824	980	207
825	981	206
826	982	205
827	983	204
828	984	203
829	985	201
830	985	200
831	986	199
832	987	197
833	988	196
834	989	195
835	989	194
836	990	192
837	991	191
838	992	190
839	993	189
840	995	188
841	996	186
842	997	185
843	997	184
844	998	183
845	999	181
846	1000	180
847	1001	179
848	1001	178
849	1002	176
850	1003	175
851	1004	174
852	1005	173
853	1006	171
854	1006	170
855	1007	169
856	1009	168
857	1010	167
858	1011	166
859	1012	164
860	1013	163
861	1013	162
862	1014	161
863	1015	159
864	1016	158
865	1017	157
866	1018	156
867	1018	154
868	1019	153
869	1020	152
870	1021	151
871	1022	150
872	1023	148
873	1024	147
874	1025	146
875	1026	145
876	1027	144
877	1028	142
878	1029	141
879	1030	140
880	1030	139
881	1031	138
882	1032	136
883	1033	135
884	1034	134
885	1035	133
886	1035	131
887	1036	130
888	1037	129
889	1038	128
890	1039	127
891	1040	126
892	1041	124
893	1042	123
894	1043	122
895	1044	121
896	1045	120
897	1045	118
898	1046	117
899	1047	116
900	1048	115
901	1049	114
902	1050	112
903	1051	111
904	1052	110
905	1053	109
906	1054	108
907	1055	106
908	1056	105
909	1057	104
910	1058	103
911	1059	102
912	1060	101
913	1061	99
914	1061	98
915	1062	97
916	1063	96
917	1064	95
918	1065	93
919	1066	92
920	1066	91
921	1067	90
922	1069	89
923	1069	87
924	1071	86
925	1071	85
926	1072	84
927	1073	83
928	1074	82
929	1075	80
930	1075	79
931	1076	78
932	1077	77
933	1078	76
934	1079	75
935	1080	73
936	1081	72
937	1081	71
938	1082	70
939	1084	69
940	1085	68
941	1086	66
942	1086	65
943	1087	64
944	1088	63
945	1089	62
946	1090	61
947	1091	59
948	1092	58
949	1092	57
950	1093	56
951	1094	55
952	1095	54
953	1096	52
954	1097	51
955	1097	50
956	1099	49
957	1100	48
958	1101	47
959	1102	45
960	1103	44
961	1103	43
962	1104	42
963	1105	41
964	1106	40
965	1107	38
966	1108	37
967	1108	36
968	1109	35
969	1110	34
970	1111	33
971	1112	32
972	1113	30
973	1114	29
974	1115	28
975	1116	27
976	1117	26
977	1118	25
978	1118	24
979	1119	22
980	1120	21
981	1121	20
982	1122	19
983	1123	18
984	1123	17
985	1124	15
986	1125	14
987	1126	13
988	1127	12
989	1127	11
990	1129	10
991	1130	9
992	1131	7
993	1132	6
994	1132	5
995	1133	4
996	1134	3
997	1135	2
998	1136	1
999	1137	0
